_id,workId,mpName,mp_id,assigned_mp_name,assigned_mp_id,house,lsTerm,state,constituency,ida,workCategory,workDescription,recommendationDate,recommendedAmount,hasPayments,totalPaid,paymentCount,finalAmount,status,completedDate,hasImage,date,createdAt
6a90da4f60cc5ec1e4c708ce,308473,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The project aims to provide an effective drainage system for the proper disposal of surface and wastewater. The project will help prevent waterlogging, soil erosion, stagnant water, and damage to roads and residential areas, particularly during the monsoon season. The work will include site preparation, excavation, construction of the drainage channel, laying of suitable concrete structures, and provision of proper slope and outlets for smooth water flow.",2026-08-26,400000.0,False,0.0,0,,recommended,,,2026-08-26,
6a90da4f60cc5ec1e4c70875,307733,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"Construction of building will be suitable for  CT scan room, control room, patient preparation area, waiting space, reporting room, electrical and equipment-support infrastructure, and other essential facilities as per required medical and safety standards. The construction will ensure a safe, hygienic, accessible, and technically suitable environment for the installation and operation of the CT Scan equipment. This facility will reduce the need for patients to travel to other districts or state",2026-08-25,5100000.0,False,0.0,0,,recommended,,,2026-08-25,
6a90da4f60cc5ec1e4c7065a,302526,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MOKOKCHUNG(Deputy Commissioner Mokokchung_IDA),Normal/Others,"The proposed project aims to undertake large scale tree plantation to promote environmental conservation, improve green cover, and protect the local ecosystem. The project will include the procurement of suitable native and fruit-bearing saplings, site preparation, transportation, plantation, and installation of protective measures. Community members and local volunteers will be involved in planting and caring for the saplings. Regular watering, maintenance, and monitoring will be carried out.",2026-08-10,520000.0,False,0.0,0,,recommended,,,2026-08-10,
6a90da4f60cc5ec1e4c70659,302520,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,WOKHA(Deputy Commissioner Wokha_IDA),Normal/Others,"Construction of New fishery pond for the community at Baghty Town, Wokha district.",2026-08-10,312000.0,False,0.0,0,,recommended,,,2026-08-10,
6a90da4f60cc5ec1e4c70320,297499,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,,2026-07-21,9500000.0,True,9500000.0,1,,recommended,,,2026-07-21,
6a90da4f60cc5ec1e4c6fb64,285812,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The construction of a Traditional Hall at Shangnyu Village is undertaken to provide a common community space for cultural activities, traditional gatherings, meetings, and social events. The project aims to preserve and promote local traditions while providing a suitable facility for the villagers. The work includes site preparation, foundation construction, erection of the hall structure, roofing, flooring, electrical installation. Traditional Hall will serve as an important community asset.",2026-06-16,3000000.0,True,1800000.0,1,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6fba6,286222,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The project involves the plantation of various suitable tree species, including indigenous, fruit-bearing, and shade-providing trees, along with necessary activities such as site preparation, sapling procurement, plantation, and initial maintenance. The initiative will contribute towards improving air quality, reducing soil erosion, supporting biodiversity, and creating a greener landscape for future generations. The project reflects the commitment towards sustainable development and environment",2026-06-16,520000.0,True,320000.0,1,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6fb8a,286110,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The road maintenance work includes repair of damaged road portions, filling of potholes, surface improvement, and necessary restoration works to enhance the durability and usability of the road. Proper attention will also be given to maintaining water drainage and preventing further deterioration of the road during adverse weather conditions. The project aims to provide better connectivity, reduce travel difficulties, and improve access to essential services, markets, schools etc...",2026-06-16,520000.0,True,312000.0,1,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6fb66,285838,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The Heritage Hall will stand as a symbol of cultural identity and community development, contributing to the preservation of heritage while meeting the growing needs of the people. The additional financial support will ensure that the project achieves its intended objectives and is to complete successfully for the long-term benefit of the community. The fund will be utilized for completing the remaining construction works, including structural finishing, electrical installations, interior works.",2026-06-16,3000000.0,True,3000000.0,1,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6fb65,285822,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,WOKHA(Deputy Commissioner Wokha_IDA),Normal/Others,"The marketing shed will help improve the livelihood opportunities of the villagers by providing a safe, organized, and weather-protected area for market activities. It will reduce difficulties faced by vendors during adverse weather conditions and encourage better participation of local producers in community trade. The project includes the development of a durable structure with necessary roofing, flooring, and other basic facilities to ensure long-term usability.",2026-06-16,700000.0,True,700000.0,2,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6fb63,285801,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,MON(Deputy Commissioner Mon_IDA),Normal/Others,"The completed water tank will enhance water availability and storage capacity for around 500 households in Shantham Ward, supporting improved sanitation, hygiene, and community welfare.. Construction of tank structure using suitable materials to ensure strength, durability, and water-tightness. Installation of inlet, outlet, overflow, and distribution arrangements. Plastering, waterproofing, and finishing works to maintain water quality and reduce leakage. Necessary pipeline connections.",2026-06-16,312000.0,True,187200.0,1,,recommended,,,2026-06-16,
6a90da4f60cc5ec1e4c6f896,281649,Smt. S. Phangnon Konyak (2022-28),,Smt. S. Phangnon Konyak (2022-28),6a90d9e260cc5ec1e4c309f3,Rajya Sabha,,Nagaland,Sitting Rajya Sabha,WOKHA(Deputy Commissioner Wokha_IDA),Normal/Others,"Construction of Fishery Project at Longjung Village, Bhandari, Wokha The proposed fishery project aims to develop a sustainable and eco-friendly fish farming system in hilly areas by utilizing available natural water resources and suitable land conditions. The project will support livelihood generation, improve local fish production, and promote rural economic development. Site Development, Land clearing, levelling, and slope stabilization. Construction of access pathways and drainage systems.",2026-05-18,4680000.0,True,4680000.0,2,,recommended,,,2026-05-18,
